2025.09.22 21:33:15 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala
2025.09.22 21:33:15 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:33:21 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:33:21 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala
2025.09.22 21:33:21 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:33:53 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:33:53 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala
2025.09.22 21:33:53 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:34:23 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:34:23 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:34:23 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala
2025.09.22 21:34:34 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:34:34 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala
2025.09.22 21:34:34 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:34:55 WARN  no build target for: /home/leo/sergeyg/build.sbt
2025.09.22 21:34:55 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala
2025.09.22 21:34:55 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala
2025.09.22 21:34:55 WARN  no build target for: /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala
2025.09.22 21:35:29 INFO  no build target found for /home/leo/sergeyg/modules/api-gateway/src/main/scala/apigateway/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:35:29 INFO  no build target found for /home/leo/sergeyg/modules/api-gateway/src/main/scala/apigateway/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:35:29 INFO  no build target found for /home/leo/sergeyg/modules/api-gateway/src/main/scala/apigateway/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:35:29 WARN  no build target for: /home/leo/sergeyg/modules/api-gateway/src/main/scala/apigateway/HttpServer.scala
2025.09.22 21:35:29 INFO  no build target found for /home/leo/sergeyg/modules/api-gateway/src/main/scala/apigateway/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:35:34 INFO  no build target found for /home/leo/sergeyg/modules/api-gateway/src/main/scala/apigateway/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:35:34 WARN  no build target for: /home/leo/sergeyg/modules/api-gateway/src/main/scala/apigateway/Main.scala
2025.09.22 21:35:34 INFO  no build target found for /home/leo/sergeyg/modules/api-gateway/src/main/scala/apigateway/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:35:47 INFO  no build target found for /home/leo/sergeyg/modules/admin-api/src/main/scala/adminapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:35:47 INFO  no build target found for /home/leo/sergeyg/modules/admin-api/src/main/scala/adminapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:35:47 INFO  no build target found for /home/leo/sergeyg/modules/admin-api/src/main/scala/adminapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:35:48 WARN  no build target for: /home/leo/sergeyg/modules/admin-api/src/main/scala/adminapi/HttpServer.scala
